event_id,hex_id,timestamp,label,tier,coordinate_precision,village,event_type,event_severity
E001,88600640b5fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,88600640b7fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,8860064e41fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,8860064e43fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,8860064e49fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E001,8860064e5dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,critical
E002,88600640b5fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,88600640b7fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,8860064e41fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,8860064e43fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,8860064e49fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E002,8860064e5dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,critical
E003,88600640b5fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,88600640b7fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,8860064e41fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,8860064e43fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,8860064e49fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,8860064e5dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,critical
E003,88600640b5fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,88600640b7fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,8860064e41fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,8860064e43fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,8860064e49fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E003,8860064e5dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,critical
E004,8860064e41fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e43fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e45fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e47fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e49fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E004,8860064e4dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,critical
E005,88600640b1fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,88600640b3fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,88600640b5fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,88600640b7fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,8860064e4bfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,8860064e59fffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E005,8860064e5dfffff,2024-07-30T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,8860064e5dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,landslide,high
E006,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e5dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,landslide,high
E006,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e45fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e47fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,8860064e4dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,landslide,high
E006,88600640b1fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,88600640b3fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,8860064e59fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E006,8860064e5dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,landslide,high
E007,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,8860064e5dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Mundakkai,flash_flood,high
E007,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e5dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Chooralmala,flash_flood,high
E007,8860064e41fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e43fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e45fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e47fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e49fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e4bfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,8860064e4dfffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Attamala,flash_flood,high
E007,88600640b1fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,flash_flood,high
E007,88600640b3fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,flash_flood,high
E007,88600640b5fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,flash_flood,high
E007,88600640b7fffff,2019-08-09T00:00:00+00:00,positive,Red,village-level,Punjirimattom,flash_flood,high
