region,point,event_id,snapshot_timestamp,sample_type,tier,elevation,slope_deg,aspect,TWI,TRI,distance_to_river_m,flow_accumulation_cells,drainage_density_km_per_km2,cwc_danger_level_m,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_24h,rainfall_72h_antecedent,antecedent_precipitation_index,rain_intensity_mm_hr,soil_saturation_ratio,river_water_level_m,river_level_change_m_per_hr,tier_int
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-12T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,1.7,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.7,9.9,19.2,65.5,65.5,22.459,3.7,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-14T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,2.2,6.0,14.0,95.6,161.1,17.6205,2.2,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-14T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,3.0,10.1,17.0,60.7,187.8,16.6779,3.0,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-14T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,3.4,7.0,47.7,194.8,11.2017,1.6,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1969-0002,1969-07-15T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.0,2.3,5.8,39.5,200.6,9.799,1.0,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-12T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.1,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.0,0.0,0.1,10.7,10.7,1.5767,0.0,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-14T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.1,1.9,3.6,21.0,31.7,4.512,0.1,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-14T12:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.7,4.2,7.2,29.2,50.9,8.9778,1.7,,,,2
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-14T18:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.6,8.7,14.9,37.7,65.8,14.4483,1.6,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1975-0025,1975-06-15T00:00:00,positive,Red,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,0.5,1.7,6.7,40.8,72.5,11.6533,0.5,,,,3
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-12T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,,,,,,0.2,,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-13T00:00:00,positive,Yellow,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.0,3.8,6.0,28.6,28.6,7.1755,1.0,,,,1
Wayanad,Chooralmala,UEI-IMD-FL-1984-0036,1984-06-14T00:00:00,positive,Orange,982.0,20.692,10.06,6.0044,9.25,61.8,4.0,1.5687,,1.7,4.1,7.0,22.7,51.3,7.9888,1.7,,,,2
