hex_id,susceptibility_class,source,village,area_type,ring_k,coordinate_precision
8860064e4bfffff,Moderate,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,village-core,0,village-level
8860064e41fffff,Moderate,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,village-core,0,village-level
88600640b7fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,village-core,0,village-level
88600640b5fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,inner-slope,1,village-level
8860064e43fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,inner-slope,1,village-level
8860064e49fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,inner-slope,1,village-level
8860064e5dfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,inner-slope,1,village-level
8860064e45fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,inner-slope,1,village-level
8860064e47fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,inner-slope,1,village-level
8860064e4dfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,inner-slope,1,village-level
88600640b1fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,inner-slope,1,village-level
88600640b3fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,inner-slope,1,village-level
8860064e59fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,inner-slope,1,village-level
88600640a3fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
88600640a7fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
88600640bdfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
8860064e09fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
8860064e51fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
8860064e55fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Mundakkai,upper-slope,2,village-level
8860064193fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,upper-slope,2,village-level
886006419bfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,upper-slope,2,village-level
8860064e0dfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,upper-slope,2,village-level
8860064e69fffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,upper-slope,2,village-level
8860064e6bfffff,High,"GSI NLSM 2015-16, per GSI Jul-2024 Wayanad FIR report",Attamala,upper-slope,2,village-level
88600640b9fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,upper-slope,2,village-level
88600640bbfffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,upper-slope,2,village-level
8860064565fffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,upper-slope,2,village-level
886006456dfffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,upper-slope,2,village-level
8860064e5bfffff,,UNRESOLVED — not named in GSI Jul-2024 FIR; pending Bhukosh access or additional source,Punjirimattom,upper-slope,2,village-level
